gene_name,gene_id,is_Secreted,State_Change_Region,CellType_Specific_Region,Spearman_Rho,P_Value,FDR,log2FoldChange,DEG_padj,Promoter_Meth_Healthy,Promoter_Meth_Altered,Delta_Promoter_Meth,DMR_Status,DMR_Meth_Healthy,DMR_Meth_Altered
CPNE6,ENSG00000100884.10,False,None,None,-0.1895606328154951,0.1107521923982617,0.3387628249576042,2.53771601371973,0.333801332654326,0.9290288153681964,0.9380392156862745,0.009010400318078093,PT_Altered_Hyper,0.23862788963460105,0.5215827338129496
NRL,ENSG00000129535.13,False,None,None,-0.1709646403502213,0.1510337972290787,0.3949810873537452,0.770937498231213,0.0249164766709821,0.0038675596641826243,0.0046820132657042525,0.0008144536015216282,None,,
PCK2,ENSG00000100889.12,False,None,None,-0.2540706823915488,0.0312711620477279,0.1860339939663953,1.67801143175711,6.44876494071722e-07,0.0878076062639821,0.14734618431476101,0.05953857805077892,PT_Altered_Hyper,0.24731182795698925,0.5371428571428571
DCAF11,ENSG00000100897.18,False,None,None,-0.1341280260346573,0.261318630831246,0.5210338281868476,0.351830372000151,0.171167636942138,0.07910547396528705,0.08393748993072338,0.004832015965436323,None,,
ENSG00000259371,ENSG00000259371.2,False,None,None,,,,,,0.9599761051373955,0.9580602883355177,-0.001915816801877801,None,,
FITM1,ENSG00000139914.7,False,None,None,0.0512166066857199,0.6691884995785757,0.8326234823833035,0.0310643841340499,0.880632077718718,0.9330819981149858,0.9078295341922695,-0.025252463922716295,None,,
PSME1,ENSG00000092010.15,False,None,None,0.0917309514341197,0.4434631659680224,0.6810639257247485,-0.559664093401185,0.113048303841507,0.011281883584041858,0.018907126532308333,0.007625242948266475,None,,
EMC9,ENSG00000100908.14,False,None,None,0.0987700269823518,0.4091191565522873,0.6534471446404672,0.1440693074855,0.661452052041182,0.08276513164795972,0.09611296689948376,0.01334783525152404,None,,
PSME2,ENSG00000100911.16,False,None,None,0.1892756037873627,0.1112995817545763,0.3395728524682277,-0.2651160940098,0.350836379210985,0.05482929305749461,0.04365217391304348,-0.01117711914445113,None,,
RNF31,ENSG00000092098.18,False,None,None,-0.1443196790442276,0.2264689865002835,0.4839346261040839,-0.0073996526187022,0.986109255802854,0.0420353982300885,0.037529060112919295,-0.0045063381171692035,None,,
ENSG00000259529,ENSG00000259529.2,False,None,None,,,,,,0.004655493482309125,0.006568613451377981,0.001913119969068856,None,,
IRF9,ENSG00000213928.10,False,None,None,0.1216252658193838,0.30879818482987,0.5674014394704545,0.135408214166411,0.668637159692529,0.43454345434543457,0.46986666666666665,0.03532321232123209,None,,
REC8,ENSG00000100918.14,False,None,None,0.1565169876931361,0.189197873792912,0.4424748668131545,0.0583385119280788,0.878151702611856,0.20806821074064646,0.31977704376548305,0.11170883302483658,PT_Altered_Hyper,0.2468407750631845,0.5577367205542725
IPO4,ENSG00000196497.17,False,None,None,0.0588490980164079,0.623399780110935,0.8051253766583395,-0.193429862802014,0.543011886514651,0.17262067084810473,0.19102956167176352,0.01840889082365879,None,,
ENSG00000259522,ENSG00000259522.3,False,None,None,,,,,,0.9062715368711234,0.9137760158572844,0.007504478986161023,None,,
TM9SF1,ENSG00000100926.15,False,None,None,-0.0265910752266713,0.8245295008455273,0.9166054329354266,-0.143492791216707,0.664718253547752,0.00385892488557839,0.0037414527157786093,-0.00011747216979978055,None,,
ENSG00000254692,ENSG00000254692.1,False,None,None,,,,,,0.0936157606280551,0.09921436588103255,0.005598605252977451,None,,
TSSK4,ENSG00000139908.15,False,None,None,0.0191624827493369,0.8730638552869954,0.9412236724703988,-0.0154931344886672,,0.91440329218107,0.938047138047138,0.023643845866068047,None,,
CHMP4A,ENSG00000254505.11,False,None,None,-0.0501762028190233,0.6755292341703587,0.8364736115000303,-0.0243336676196628,0.947375776885622,0.33350812794965917,0.3718811881188119,0.038373060169152706,None,,
MDP1,ENSG00000213920.9,False,None,None,-0.0477652222242969,0.6903091652800017,0.8455120005217551,0.0632726999428474,0.8645172518247,0.14960272417707152,0.15361744301288405,0.004014718835812531,None,,
NEDD8-MDP1,ENSG00000255526.6,False,None,None,,,,,,0.007681784699568557,0.011020970457676412,0.003339185758107855,None,,
NEDD8,ENSG00000129559.13,False,None,None,0.0682779534081114,0.5687565526583245,0.769162996789993,-0.244059651275631,0.278125292207851,0.0076652826572979876,0.011126564673157162,0.0034612820158591746,None,,
GMPR2,ENSG00000100938.19,False,None,None,0.0033694122917056,0.9775902835309632,0.990041875193831,-0.0826583281946551,0.814446863938591,0.013365580448065174,0.012753623188405797,-0.0006119572596593771,None,,
TINF2,ENSG00000092330.19,True,None,None,0.0201504068425533,0.8665781956106235,0.9378618775334264,-0.423157482488156,0.14483359361932,0.04258675078864353,0.0507199377351148,0.00813318694647127,None,,
TGM1,ENSG00000092295.12,False,None,None,0.0176694745429375,0.8828810833020311,0.9461858189997028,-0.0254155879140501,,0.9005025125628141,0.891156462585034,-0.009346049977780102,None,,
RABGGTA,ENSG00000100949.15,False,None,None,0.1360657834403941,0.2544281133084296,0.5137513074280404,0.216473896705958,0.491805096346091,0.06364372469635628,0.05356431700517722,-0.010079407691179057,None,,
DHRS1,ENSG00000157379.14,False,None,None,-0.0859502829065825,0.4728322950644579,0.70334157067037,-0.0008575413715413,0.998204412378191,0.02750887383026783,0.029523809523809525,0.0020149356935416952,None,,
NOP9,ENSG00000196943.14,False,None,None,-0.1369082448893998,0.2514713111284918,0.5107690410101311,-0.0245379161606522,0.953804216148709,0.053584425036390104,0.05810559830193685,0.004521173265546748,None,,
CIDEB,ENSG00000136305.12,False,None,None,0.0296301353168969,0.8048509196187852,0.9091995442457592,0.0736987777610733,0.838295993136616,0.3910409002380437,0.40725806451612906,0.01621716427808534,None,,
LTB4R2,ENSG00000213906.10,False,None,None,-0.126956037211827,0.2879128563925359,0.5474495208710799,-0.0122283660265442,0.986109255802854,0.978789047435403,0.9757969303423849,-0.002992117093018054,None,,
LTB4R,ENSG00000213903.9,False,None,None,0.1173310404352394,0.3263175226659074,0.5834506679335685,0.0745440742815946,0.83982727269955,0.20929987347110923,0.22618258910825492,0.01688271563714569,None,,
